MNEMONIC,NUMBER,DESCRIPTION,ZULU
 NC006010 , A58010 , M TYPE 006-010 NEXRAD LVL 2 RADIAL WIND (00z)            ,0
 NC006011 , A58011 , M TYPE 006-011 NEXRAD LVL 2 RADIAL WIND (01z)            ,1
 NC006012 , A58012 , M TYPE 006-012 NEXRAD LVL 2 RADIAL WIND (02z)            ,2
 NC006013 , A58013 , M TYPE 006-013 NEXRAD LVL 2 RADIAL WIND (03z)            ,3
 NC006014 , A58014 , M TYPE 006-014 NEXRAD LVL 2 RADIAL WIND (04z)            ,4
 NC006015 , A58015 , M TYPE 006-015 NEXRAD LVL 2 RADIAL WIND (05z)            ,5
 NC006016 , A58016 , M TYPE 006-016 NEXRAD LVL 2 RADIAL WIND (06z)            ,6
 NC006017 , A58017 , M TYPE 006-017 NEXRAD LVL 2 RADIAL WIND (07z)            ,7
 NC006018 , A58018 , M TYPE 006-018 NEXRAD LVL 2 RADIAL WIND (08z)            ,8
 NC006019 , A58019 , M TYPE 006-019 NEXRAD LVL 2 RADIAL WIND (09z)            ,9
 NC006020 , A58020 , M TYPE 006-020 NEXRAD LVL 2 RADIAL WIND (10z)            ,10
 NC006021 , A58021 , M TYPE 006-021 NEXRAD LVL 2 RADIAL WIND (11z)            ,11
 NC006022 , A58022 , M TYPE 006-022 NEXRAD LVL 2 RADIAL WIND (12z)            ,12
 NC006023 , A58023 , M TYPE 006-023 NEXRAD LVL 2 RADIAL WIND (13z)            ,13
 NC006024 , A58024 , M TYPE 006-024 NEXRAD LVL 2 RADIAL WIND (14z)            ,14
 NC006025 , A58025 , M TYPE 006-025 NEXRAD LVL 2 RADIAL WIND (15z)            ,15
 NC006026 , A58026 , M TYPE 006-026 NEXRAD LVL 2 RADIAL WIND (16z)            ,16
 NC006027 , A58027 , M TYPE 006-027 NEXRAD LVL 2 RADIAL WIND (17z)            ,17
 NC006028 , A58028 , M TYPE 006-028 NEXRAD LVL 2 RADIAL WIND (18z)            ,18
 NC006029 , A58029 , M TYPE 006-029 NEXRAD LVL 2 RADIAL WIND (19z)            ,19
 NC006030 , A58030 , M TYPE 006-030 NEXRAD LVL 2 RADIAL WIND (20z)            ,20
 NC006031 , A58031 , M TYPE 006-031 NEXRAD LVL 2 RADIAL WIND (21z)            ,21
 NC006032 , A58032 , M TYPE 006-032 NEXRAD LVL 2 RADIAL WIND (22z)            ,22
 NC006033 , A58033 , M TYPE 006-033 NEXRAD LVL 2 RADIAL WIND (23z)            ,23
 NC006040 , A58040 , M TYPE 006-040 NEXRAD LVL 2 REFLECTIVITY (00z)           ,0
 NC006041 , A58041 , M TYPE 006-041 NEXRAD LVL 2 REFLECTIVITY (01z)           ,1
 NC006042 , A58042 , M TYPE 006-042 NEXRAD LVL 2 REFLECTIVITY (02z)           ,2
 NC006043 , A58043 , M TYPE 006-043 NEXRAD LVL 2 REFLECTIVITY (03z)           ,3
 NC006044 , A58044 , M TYPE 006-044 NEXRAD LVL 2 REFLECTIVITY (04z)           ,4
 NC006045 , A58045 , M TYPE 006-045 NEXRAD LVL 2 REFLECTIVITY (05z)           ,5
 NC006046 , A58046 , M TYPE 006-046 NEXRAD LVL 2 REFLECTIVITY (06z)           ,6
 NC006047 , A58047 , M TYPE 006-047 NEXRAD LVL 2 REFLECTIVITY (07z)           ,7
 NC006048 , A58048 , M TYPE 006-048 NEXRAD LVL 2 REFLECTIVITY (08z)           ,8
 NC006049 , A58049 , M TYPE 006-049 NEXRAD LVL 2 REFLECTIVITY (09z)           ,9
 NC006050 , A58050 , M TYPE 006-050 NEXRAD LVL 2 REFLECTIVITY (10z)           ,10
 NC006051 , A58051 , M TYPE 006-051 NEXRAD LVL 2 REFLECTIVITY (11z)           ,11
 NC006052 , A58052 , M TYPE 006-052 NEXRAD LVL 2 REFLECTIVITY (12z)           ,12
 NC006053 , A58053 , M TYPE 006-053 NEXRAD LVL 2 REFLECTIVITY (13z)           ,13
 NC006054 , A58054 , M TYPE 006-054 NEXRAD LVL 2 REFLECTIVITY (14z)           ,14
 NC006055 , A58055 , M TYPE 006-055 NEXRAD LVL 2 REFLECTIVITY (15z)           ,15
 NC006056 , A58056 , M TYPE 006-056 NEXRAD LVL 2 REFLECTIVITY (16z)           ,16
 NC006057 , A58057 , M TYPE 006-057 NEXRAD LVL 2 REFLECTIVITY (17z)           ,17
 NC006058 , A58058 , M TYPE 006-058 NEXRAD LVL 2 REFLECTIVITY (18z)           ,18
 NC006059 , A58059 , M TYPE 006-059 NEXRAD LVL 2 REFLECTIVITY (19z)           ,19
 NC006060 , A58060 , M TYPE 006-060 NEXRAD LVL 2 REFLECTIVITY (20z)           ,20
 NC006061 , A58061 , M TYPE 006-061 NEXRAD LVL 2 REFLECTIVITY (21z)           ,21
 NC006062 , A58062 , M TYPE 006-062 NEXRAD LVL 2 REFLECTIVITY (22z)           ,22
 NC006063 , A58063 , M TYPE 006-063 NEXRAD LVL 2 REFLECTIVITY (23z)           ,23
